,track_id,track_name,track_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,intervals
7817,3ehS7brEPi3Pc8yitrFdbG,Chains - Remix,Nick Jonas,0.504,0.674,0,-5.824,0,0.0622,0.0247,0.0,0.0757,0.0991,76.847,203000,-1
7818,3Eid8tDXUjwPDXgWqKR26D,Voodoo Song - Radio Edit,Willy William,0.614,0.722,11,-3.7689999999999997,0,0.21899999999999997,0.0544,0.0,0.139,0.26,103.885,195858,-2
7819,3EiLWVLc7X8KrId1XPm9R3,Moonlighting,Fareoh,0.604,0.978,3,-1.651,0,0.0443,0.0156,0.00247,0.319,0.424,150.06,197449,-2
7820,3eIPYPrEGvbAKc2rSjlErW,Tamo Loco,Ysy A,0.619,0.762,1,-5.69,1,0.11,0.47100000000000003,1.64e-06,0.322,0.35100000000000003,126.354,216056,-2
7821,3eiUQTsfRQ0abO6duxLcxw,To Cut a Long Story Short - 2010 Remaster,Spandau Ballet,0.5770000000000001,0.893,2,-5.113,1,0.087,0.147,0.802,0.0864,0.86,142.424,199693,-2
7822,3EJflwzyWYd9PIz6g8L97V,ILYSB,LANY,0.613,0.628,5,-6.651,1,0.0524,0.57,0.0157,0.32299999999999995,0.491,100.01899999999999,211340,-1
7823,3ekvPNnFzO7okhIkZ8jsGH,sobeautiful,Musiq Soulchild,0.6890000000000001,0.562,7,-7.047999999999999,0,0.0637,0.0656,0.0,0.0885,0.21,133.987,291133,-1
7824,3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,0.5720000000000001,0.915,5,-4.4510000000000005,0,0.0625,0.0111,0.0,0.33899999999999997,0.6779999999999999,123.919,164516,-2
7825,3ELDXXIcNI3HZ6LoKK580V,until,Musiq Soulchild,0.561,0.736,11,-5.61,0,0.177,0.0118,0.0,0.23,0.44799999999999995,99.404,210760,-1
7826,3EludUFeAoJAwSixWGG5Wg,Wrong,Luh Kel,0.745,0.728,0,-3.39,1,0.0423,0.35200000000000004,0.0,0.228,0.39,120.09899999999999,130876,-1
7827,3EM42kT3ARiZJhXJPoFaZe,Heroes - Single Version [Remastered],David Bowie,0.502,0.6809999999999999,7,-8.263,1,0.0276,0.016,0.107,0.102,0.584,112.16,213813,-2
7828,3eng6TJxpqjvDkxRpnfnhB,Big Plans,Why Don't We,0.693,0.604,11,-5.279,1,0.0427,0.0668,0.0,0.114,0.6509999999999999,75.014,179930,-1
7829,3enjxX3aOAsFyaKeH1O9jO,Sound Bwoy Bureill,Smif-N-Wessun,0.708,0.305,9,-14.003,1,0.8170000000000001,0.138,3.08e-06,0.139,0.691,174.15400000000002,259453,-1
7830,3eOFG0vqpsMqhGHTQJmjQi,Don't Bring Me Down,Electric Light Orchestra,0.64,0.878,2,-6.481,1,0.0335,0.17,0.00023199999999999997,0.0632,0.795,115.7,243573,-1
7831,3eorMV6czNJXcThtrtVpxf,Criminal,Grey,0.674,0.519,5,-7.362999999999999,0,0.0451,0.4,0.0,0.11,0.29,103.899,148880,-1
7832,3EoW3WFVterpG1cTPUvoQC,Everyday,Lucy Pearl,0.74,0.644,8,-4.873,0,0.261,0.152,0.0,0.0912,0.8809999999999999,81.741,240467,-2
7833,3Ep0bUarDBGnWpLWkNiR8F,Home (feat. Nico Santos) - B-Case Radio Remix,Topic,0.722,0.77,5,-5.497000000000001,0,0.0361,0.0183,3.8799999999999994e-05,0.33399999999999996,0.41600000000000004,125.96600000000001,202933,-1
7834,3EPXxR3ImUwfayaurPi3cm,Be Alright,Dean Lewis,0.5529999999999999,0.586,11,-6.319,1,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684,196373,-1
7835,3eq83AsxUcnYS9k57MoBbE,"Further Up (Na, Na, Na, Na, Na)",Static & Ben El,0.8,0.8759999999999999,6,-0.882,1,0.113,0.0148,0.0,0.218,0.912,100.025,151873,-1
7836,3EQDJ0MHppNeqOtAVoJqJH,@,chillwagon,0.818,0.6970000000000001,3,-7.945,0,0.188,0.282,0.0,0.29600000000000004,0.805,127.96,255202,-2
7837,3EQIkAelrWDtmSe7aM86BL,Los Angeles (feat. Guè Pequeno),The Kolors,0.675,0.82,11,-5.261,0,0.0398,0.161,1.14e-06,0.425,0.51,109.08,209018,-2
7838,3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),Kygo,0.64,0.5329999999999999,0,-6.596,1,0.0706,0.11900000000000001,0.0,0.0864,0.515,99.96799999999999,220781,-1
7839,3ER2b5TBR4XRx9DHiZJ484,Your Disease,Saliva,0.38,0.9620000000000001,6,-2.946,1,0.084,1.0199999999999999e-05,0.898,0.34600000000000003,0.5,159.898,237493,-2
7840,3eRvE11OJfCYnaZwCFhMZD,Nervous - The Ooh Song/Mark McCabe Remix,Gavin James,0.634,0.8220000000000001,7,-7.438,1,0.0408,0.254,0.00041799999999999997,0.262,0.285,104.98200000000001,195414,-1
7841,3eS1VMcEmq2IUgpaeDysCb,One Touch,Jess Glynne,0.6859999999999999,0.693,0,-6.245,0,0.131,0.32899999999999996,0.0,0.136,0.6990000000000001,124.206,197876,-1
7842,3eSD4F6Y47EHatykwASvHX,Only One - Brookes Brothers Remix,Sigala,0.55,0.763,7,-6.337999999999999,1,0.0437,0.0004860000000000001,0.0438,0.56,0.373,173.889,237187,-2
7843,3EsMtFNz93GIiPpnTTJGW8,Impulso (feat. Funky),Evan Craft,0.721,0.802,6,-6.226,0,0.046,0.135,1.24e-06,0.33799999999999997,0.6609999999999999,96.00399999999999,201387,-2
7844,3ESSGgWzRf1xvP7G5hHMhB,Again,Fetty Wap,0.748,0.733,11,-4.421,0,0.07200000000000001,0.0062,0.0,0.32899999999999996,0.29100000000000004,93.01899999999999,312240,-1
7845,3esyi2atuXIovqsU1H1LuZ,I'm Not Soupped,Troop,0.8140000000000001,0.7,10,-12.335,0,0.0961,0.00135,0.0854,0.24,0.903,111.416,263173,-2
7846,3eSyMBd7ERw68NVB3jlRmW,Pressure,Muse,0.622,0.8420000000000001,11,-3.678,0,0.0609,0.0034200000000000003,0.00014,0.0575,0.7240000000000001,136.041,235600,-2
7847,3eU0idtZzJXksHeYVUjdzm,CHASE,twuan,0.8079999999999999,0.24100000000000002,8,-9.699,0,0.18,0.102,0.888,0.109,0.41700000000000004,80.782,126317,-1
7848,3EUl8M6SzxZl03NPkB8mUd,Neon Moon,Brooks & Dunn,0.7020000000000001,0.632,9,-6.507999999999999,1,0.0247,0.5539999999999999,0.0,0.127,0.457,102.404,263500,-1
7849,3eUsSFWf6Aq5oCK9lTI4Q8,Don't Be Afraid,Aaron Hall,0.8390000000000001,0.823,11,-10.605,1,0.0682,0.0066099999999999996,0.0,0.318,0.5539999999999999,101.59100000000001,318600,-2
7850,3EuU1VWTQsxlXttEFvif0C,The Kick,Maurice West,0.731,0.7829999999999999,1,-4.364,1,0.257,0.00235,0.168,0.392,0.41200000000000003,128.075,176250,-2
